Total , Name           , Type          , Code
   280, liger          , body          ,   30
   294, dreamboat      , color3        ,   30
   409, struck         , mouth         ,   29
   430, firstblush     , color1        ,   30
   494, inflatablepool , color2        ,   28
   503, fallspice      , color3        ,   29
   514, junglebook     , environment   ,   30
   520, hotcocoa       , color1        ,   28
   520, bridesmaid     , coloreyes     ,   18
   531, mallowflower   , color3        ,   26
   532, summerbonnet   , color3        ,   21
   556, dune           , environment   ,   17
   578, burmilla       , body          ,   29
   597, metime         , environment   ,   22
   603, cornflower     , color1        ,   17
   606, ooze           , color2        ,   16
   610, downbythebay   , coloreyes     ,   25
   625, firedup        , eyes          ,   26
   629, candyshoppe    , eyes          ,   29
   630, moonrise       , pattern       ,   30
   664, floorislava    , environment   ,   28
   666, secretgarden   , environment   ,   24
   695, gemini         , coloreyes     ,   28
   713, prairierose    , color2        ,   30
   741, delite         , mouth         ,   30
   771, cobalt         , color3        ,   25
   775, mertail        , color2        ,   27
   786, icicle         , color1        ,   24
   788, satiated       , mouth         ,   27
   788, featherbrain   , wild          ,   21
   806, isotope        , coloreyes     ,   04
   822, gyre           , pattern       ,   29
   849, allyouneed     , pattern       ,   27
   908, drama          , eyes          ,   30
   943, hacker         , eyes          ,   21
   984, oasis          , coloreyes     ,   27
   992, jacked         , environment   ,   27
  1004, foghornpawhorn , wild          ,   26
  1028, splat          , pattern       ,   16
  1037, scorpius       , pattern       ,   24
  1038, hanauma        , color3        ,   11
  1073, wyrm           , wild          ,   30
  1109, prism          , environment   ,   29
  1115, tendertears    , eyes          ,   20
  1138, juju           , environment   ,   18
  1165, myparade       , environment   ,   20
  1218, hyacinth       , color1        ,   26
  1223, balinese       , body          ,   19
  1232, ruhroh         , mouth         ,   19
  1294, arcreactor     , pattern       ,   22
  1319, oceanid        , eyes          ,   24
  1343, cyborg         , color2        ,   00
  1361, majestic       , mouth         ,   22
  1367, alicorn        , wild          ,   29
  1398, kaleidoscope   , coloreyes     ,   30
  1448, autumnmoon     , coloreyes     ,   26
  1494, drift          , environment   ,   23
  1531, frozen         , environment   ,   25
  1587, kurilian       , body          ,   25
  1646, babypuke       , coloreyes     ,   24
  1771, aflutter       , wild          ,   25
  1793, lavender       , color1        ,   20
  1844, glacier        , color1        ,   21
  1867, lykoi          , body          ,   28
  1891, roadtogold     , environment   ,   26
  1906, sully          , color3        ,   28
  1982, walrus         , mouth         ,   28
  2038, meowgarine     , color1        ,   02
  2116, mekong         , body          ,   17
  2125, vigilante      , pattern       ,   00
  2250, rosequartz     , color2        ,   19
  2285, razzledazzle   , pattern       ,   25
  2373, samwise        , mouth         ,   18
  2389, buttercup      , color3        ,   18
  2439, pearl          , color2        ,   29
  2682, bornwithit     , eyes          ,   28
  2682, fox            , body          ,   24
  2709, tinybox        , environment   ,   19
  2746, shamrock       , color1        ,   29
  2759, trioculus      , wild          ,   19
  2770, pinefresh      , coloreyes     ,   22
  2806, unicorn        , wild          ,   27
  2812, garnet         , color2        ,   23
  3083, mintmacaron    , color3        ,   27
  3174, avatar         , pattern       ,   28
  3321, dioscuri       , coloreyes     ,   29
  3376, twilightsparkle, coloreyes     ,   20
  3420, topoftheworld  , mouth         ,   25
  3550, koala          , color1        ,   19
  3591, chameleon      , eyes          ,   16
  3632, seafoam        , color3        ,   24
  3679, ducky          , wild          ,   18
  3795, flamingo       , color3        ,   17
  3978, daemonwings    , wild          ,   20
  4216, palejade       , coloreyes     ,   21
  4249, flapflap       , wild          ,   22
  4264, yokel          , mouth         ,   24
  4276, buzzed         , eyes          ,   27
  4745, finalfrontier  , environment   ,   21
